INLINE HolyBloodTable,Name ID,Desc ID,HP Growth Modifier,Strength Growth Modifier,Skill Growth Modifier,Speed Growth Modifier,Defense Growth Modifier,Resistance Growth Modifier,Luck Growth Modifier,Magic Growth Modifier,Blood ID,Can Dragon Vein,##UNKNOWN##,Exclusive Weapons List Pointer
0x28,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,40,255,0xffff,0xffffffff
0x29,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,41,255,0xffff,0xffffffff
0x2a,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,42,255,0xffff,0xffffffff
0x2b,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,43,255,0xffff,0xffffffff
0x2c,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,44,255,0xffff,0xffffffff
0x2d,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,45,255,0xffff,0xffffffff
0x2e,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,46,255,0xffff,0xffffffff
0x2f,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,47,255,0xffff,0xffffffff
0x30,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,48,255,0xffff,0xffffffff
0x31,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,49,255,0xffff,0xffffffff
0x32,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,50,255,0xffff,0xffffffff
0x33,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,51,255,0xffff,0xffffffff
0x34,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,52,255,0xffff,0xffffffff
0x35,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,53,255,0xffff,0xffffffff
0x36,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,54,255,0xffff,0xffffffff
0x37,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,55,255,0xffff,0xffffffff
0x38,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,56,255,0xffff,0xffffffff
0x39,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,57,255,0xffff,0xffffffff
0x3a,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,58,255,0xffff,0xffffffff
0x3b,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,59,255,0xffff,0xffffffff
0x3c,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,60,255,0xffff,0xffffffff
0x3d,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,61,255,0xffff,0xffffffff
0x3e,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,62,255,0xffff,0xffffffff
0x3f,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,63,255,0xffff,0xffffffff
0x40,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,64,255,0xffff,0xffffffff
0x41,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,65,255,0xffff,0xffffffff
0x42,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,66,255,0xffff,0xffffffff
0x43,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,67,255,0xffff,0xffffffff
0x44,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,68,255,0xffff,0xffffffff
0x45,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,69,255,0xffff,0xffffffff
0x46,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,70,255,0xffff,0xffffffff
0x47,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,71,255,0xffff,0xffffffff
0x48,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,72,255,0xffff,0xffffffff
0x49,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,73,255,0xffff,0xffffffff
0x4a,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,74,255,0xffff,0xffffffff
0x4b,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,75,255,0xffff,0xffffffff
0x4c,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,76,255,0xffff,0xffffffff
0x4d,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,77,255,0xffff,0xffffffff
0x4e,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,78,255,0xffff,0xffffffff
0x4f,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,79,255,0xffff,0xffffffff
0x50,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,80,255,0xffff,0xffffffff
0x51,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,81,255,0xffff,0xffffffff
0x52,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,82,255,0xffff,0xffffffff
0x53,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,83,255,0xffff,0xffffffff
0x54,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,84,255,0xffff,0xffffffff
0x55,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,85,255,0xffff,0xffffffff
0x56,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,86,255,0xffff,0xffffffff
0x57,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,87,255,0xffff,0xffffffff
0x58,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,88,255,0xffff,0xffffffff
0x59,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,89,255,0xffff,0xffffffff
0x5a,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,90,255,0xffff,0xffffffff
0x5b,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,91,255,0xffff,0xffffffff
0x5c,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,92,255,0xffff,0xffffffff
0x5d,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,93,255,0xffff,0xffffffff
0x5e,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,94,255,0xffff,0xffffffff
0x5f,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,95,255,0xffff,0xffffffff
0x60,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,96,255,0xffff,0xffffffff
0x61,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,97,255,0xffff,0xffffffff
0x62,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,98,255,0xffff,0xffffffff
0x63,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,99,255,0xffff,0xffffffff
0x64,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,100,255,0xffff,0xffffffff
0x65,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,101,255,0xffff,0xffffffff
0x66,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,102,255,0xffff,0xffffffff
0x67,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,103,255,0xffff,0xffffffff
0x68,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,104,255,0xffff,0xffffffff
0x69,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,105,255,0xffff,0xffffffff
0x6a,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,106,255,0xffff,0xffffffff
0x6b,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,107,255,0xffff,0xffffffff
0x6c,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,108,255,0xffff,0xffffffff
0x6d,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,109,255,0xffff,0xffffffff
0x6e,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,110,255,0xffff,0xffffffff
0x6f,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,111,255,0xffff,0xffffffff
0x70,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,112,255,0xffff,0xffffffff
0x71,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,113,255,0xffff,0xffffffff
0x72,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,114,255,0xffff,0xffffffff
0x73,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,115,255,0xffff,0xffffffff
0x74,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,116,255,0xffff,0xffffffff
0x75,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,117,255,0xffff,0xffffffff
0x76,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,118,255,0xffff,0xffffffff
0x77,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,119,255,0xffff,0xffffffff
0x78,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,120,255,0xffff,0xffffffff
0x79,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,121,255,0xffff,0xffffffff
0x7a,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,122,255,0xffff,0xffffffff
0x7b,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,123,255,0xffff,0xffffffff
0x7c,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,124,255,0xffff,0xffffffff
0x7d,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,125,255,0xffff,0xffffffff
0x7e,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,126,255,0xffff,0xffffffff
